#   zf [m]    tau [s]    u [m/s]     v [m/s]     th [K]   qv [kg/kg]
50 10800 172800 
2 
  338.8432   21600.0    5.499539    3.170654   290.113556  0.005916035
  437.5529   21600.0    5.684733    3.231582   290.040161  0.005880330
  549.7112   21600.0    5.880419    3.272216   289.977264  0.005837272
  675.6624   21600.0    6.133617    3.273328   289.935120  0.005767669
  815.7755   21600.0    6.708996    3.047195   290.031555  0.005469917
  970.5827   21600.0    7.437653    2.348704   291.068085  0.004186461
 1140.4797   21600.0    7.225470    1.641681   292.770081  0.003640761
 1325.5225   21600.0    8.159324    0.943568   294.146301  0.003576921
 1525.9376   21600.0    8.629120    0.851802   295.009735  0.003626152
 1742.1144   21600.0    8.740305    0.637975   295.645050  0.003588066
 1974.4042   21600.0    8.634226    0.173523   296.244720  0.003184837
 2223.1768   21600.0    8.211121    0.447611   296.824860  0.002844363
 2489.0293   21600.0    8.120825    1.580812   297.864868  0.002430276
 2772.7195   21600.0    8.441813    2.881081   300.191254  0.001711729
 3074.4175   21600.0    8.332911    3.265137   303.350159  0.000960548
 3393.7827   21600.0    8.277575    2.138671   305.990356  0.000593804
 3730.8118   21600.0    8.165568    1.234287   307.433441  0.001079560
 4086.2781   21600.0    7.575727    1.382179   308.638275  0.001460684
 4460.6670   21600.0    8.143367    1.040983   309.960022  0.001580904
 4854.0542   21600.0    9.812405    0.228839   311.045380  0.001518449
 5267.2783   21600.0   11.036840    0.182266   312.703033  0.001282831
 5699.9722   21600.0   11.371255    0.581972   313.787048  0.001318965
 6153.1279   21600.0   11.777912    0.563174   315.266541  0.001229595
 6627.1938   21600.0   11.802146    0.128061   317.360840  0.000846826
 7122.3960   21600.0   11.914448   -1.380756   319.861816  0.000631498
 7638.4443   21600.0   13.490481   -3.266292   322.048065  0.000386966
 8175.7295   21600.0   15.719786   -3.859348   324.028748  0.000254684
 8734.0596   21600.0   16.310350   -5.559911   325.234711  0.000216077
 9314.7578   21600.0   17.009018   -7.485474   326.876495  0.000095437
 9917.6865   21600.0   17.714428   -9.583058   328.466309  0.000055960
10543.2861   21600.0   18.058867  -11.718461   330.172119  0.000040559
11195.8848   21600.0   17.217102  -13.010761   332.142670  0.000021528
11883.6338   21600.0   16.109837  -12.122755   339.741089  0.000007133
12605.0029   21600.0   17.142843   -8.897971   354.611816  0.000003820
13351.3125   21600.0   17.066803   -6.663272   370.173248  0.000003895
14118.6250   21600.0   15.006496   -5.307317   382.316101  0.000004016
14906.9473   21600.0   13.505177   -1.580332   390.766144  0.000004089
15723.1416   21600.0    9.545685   -0.795426   401.870728  0.000003924
16569.5840   21600.0    3.420942   -1.810936   417.629333  0.000003989
17443.9453   21600.0    1.935901   -2.097993   435.598999  0.000004025
18345.5039   21600.0    0.786210   -1.985851   454.844513  0.000003978
19274.2207   21600.0   -1.018860   -1.708026   475.067841  0.000004002
20229.8477   21600.0   -4.221857   -2.113936   495.768066  0.000003876
21213.2832   21600.0   -7.773612   -2.923584   517.627747  0.000003847

# 54000.00  
    9.8192   21600.0    3.975394    0.822476   293.261383  0.006823664
   35.0512   21600.0    4.987006    1.021066   293.016296  0.006722722
   71.6698   21600.0    5.486004    1.115093   292.898071  0.006669233
  120.0230   21600.0    5.822630    1.175600   292.821838  0.006632354
  180.4617   21600.0    6.085646    1.219621   292.764587  0.006601426
  253.3168   21600.0    6.310049    1.253064   292.717987  0.006571959
  338.9389   21600.0    6.506416    1.276585   292.679230  0.006541717
  437.6726   21600.0    6.675867    1.289942   292.648590  0.006509300
  549.8603   21600.0    6.818149    1.298134   292.630005  0.006470043
  675.8413   21600.0    6.949743    1.278016   292.632782  0.006411689
  815.9580   21600.0    7.068427    1.225599   292.651550  0.006308568
  970.5665   21600.0    7.239113    1.032859   292.825806  0.005898412
 1140.0796   21600.0    7.730100    1.012651   293.428436  0.005063050
 1324.8346   21600.0    8.318965    0.778503   294.267090  0.004173587
 1525.0839   21600.0    8.894382    0.553783   294.899261  0.003726327
 1741.2494   21600.0    9.158847    0.364503   295.570770  0.003662113
 1973.5217   21600.0    9.192432    0.231591   296.008392  0.003637318
 2222.4614   21600.0    9.214650    0.392854   296.846100  0.003338093
 2488.4460   21600.0    9.600815    0.889452   298.153717  0.002643958
 2772.3191   21600.0   10.128863    1.213770   300.960480  0.001540611
 3073.7366   21600.0   10.331195    1.749086   303.631989  0.001006290
 3392.9456   21600.0   10.133272    1.962860   305.955902  0.001011552
 3730.0637   21600.0   10.593313    2.439420   307.649902  0.001105744
 4085.5789   21600.0   11.133687    2.582970   309.036163  0.001272670
 4459.9380   21600.0   11.683755    1.779457   310.433319  0.001181332
 4853.1489   21600.0   12.223412    0.844828   311.398010  0.000949882
 5266.1562   21600.0   12.759038    0.382392   312.788849  0.000985134
 5698.8818   21600.0   13.558905   -0.016069   313.964905  0.001070769
 6151.7124   21600.0   13.671851   -0.485301   315.051239  0.001078419
 6625.8618   21600.0   13.848586    0.120645   317.297272  0.000803668
 7121.0762   21600.0   13.205440    0.625914   319.855072  0.000607983
 7637.2227   21600.0   13.774217    0.107804   322.136932  0.000511035
 8174.5947   21600.0   15.412535    0.134612   324.178101  0.000398940
 8733.1631   21600.0   16.507254   -0.083076   325.641083  0.000292500
 9313.9268   21600.0   17.228584   -2.695007   327.328278  0.000199879
 9916.9414   21600.0   18.559008   -6.190521   328.986877  0.000119492
10543.0312   21600.0   18.234629   -8.314835   331.183960  0.000057334
11195.5303   21600.0   16.649572   -7.043282   333.047699  0.000019509
11881.5449   21600.0   16.416424   -6.649590   338.993378  0.000005154
12601.9219   21600.0   17.485216   -6.171919   352.896454  0.000003481
13348.6465   21600.0   16.976749   -5.403204   368.823425  0.000003962
14116.5820   21600.0   14.881033   -4.400822   381.554962  0.000004007
14906.3564   21600.0   13.323305   -1.694220   391.386627  0.000004028
15722.6680   21600.0   10.247600    1.094912   402.587616  0.000003971
16568.2969   21600.0    5.793156    2.822694   417.553864  0.000003996
17442.7715   21600.0    3.971101    1.801615   435.620331  0.000004036
18344.2656   21600.0    2.102625   -0.145905   454.794617  0.000004005
19272.7910   21600.0   -0.199994   -2.266840   474.827911  0.000004031
20229.1621   21600.0   -2.789020   -2.908106   496.282623  0.000003944
21213.7637   21600.0   -5.452586   -3.043535   519.342529  0.000003895

# 64800.00  
    9.8191   21600.0    2.866075    0.159816   291.123596  0.006644547
   35.0730   21600.0    4.060224    0.164533   291.515503  0.006583793
   71.7120   21600.0    5.110832    0.110418   291.847260  0.006509962
  120.0871   21600.0    6.381109   -0.042725   292.172028  0.006412011
  180.5300   21600.0    7.367795   -0.210281   292.357300  0.006336406
  253.3782   21600.0    7.896245   -0.323899   292.434814  0.006302181
  338.9867   21600.0    8.103470   -0.303360   292.485291  0.006289495
  437.7053   21600.0    8.139984   -0.181001   292.539246  0.006272107
  549.8718   21600.0    8.094911   -0.114833   292.571075  0.006254307
  675.8338   21600.0    7.963951   -0.047654   292.626190  0.006182923
  815.9511   21600.0    8.114847    0.002876   292.831940  0.005823026
  970.5932   21600.0    7.961178    0.057399   293.305511  0.005089371
 1140.1774   21600.0    8.081716   -0.733708   294.162445  0.004407197
 1324.9058   21600.0    7.597082   -1.063187   294.766693  0.004081787
 1525.1398   21600.0    7.592719   -1.387291   295.230530  0.003981598
 1741.2700   21600.0    7.910503   -1.661240   295.780731  0.003985574
 1973.6522   21600.0    8.205211   -1.961022   296.525604  0.003872630
 2222.5796   21600.0    8.589242   -2.236353   297.398590  0.003461553
 2488.4907   21600.0    8.928390   -2.432136   298.688324  0.002567470
 2771.9866   21600.0    8.671525   -2.507676   300.882294  0.001605729
 3073.0730   21600.0    8.340921   -2.164023   302.977905  0.001557999
 3392.0408   21600.0    8.821739   -1.612988   304.824127  0.001883754
 3729.1262   21600.0    9.787739   -1.271057   306.471344  0.001681056
 4084.8567   21600.0   10.312037   -1.481498   308.275208  0.001525496
 4459.5596   21600.0   10.833068   -2.089412   310.232086  0.001412468
 4852.9531   21600.0   11.109248   -1.934549   311.406677  0.001328792
 5265.9839   21600.0   11.426736   -1.861783   312.771118  0.001339276
 5698.5391   21600.0   11.797008   -1.755522   313.667969  0.001332410
 6151.1455   21600.0   11.817472   -1.836814   314.454437  0.001122761
 6625.5620   21600.0   12.884226   -1.305722   317.055878  0.000736869
 7120.9829   21600.0   13.937852   -0.347290   319.901276  0.000436960
 7637.1738   21600.0   14.899521    0.413050   322.281403  0.000259791
 8174.4634   21600.0   16.188759    0.313159   324.250519  0.000215986
 8733.3477   21600.0   16.936285    0.191690   326.098419  0.000163983
 9314.3096   21600.0   17.584532   -1.333145   328.031586  0.000105717
 9918.0635   21600.0   18.785166   -4.147801   330.487793  0.000054277
10543.9209   21600.0   20.294813   -6.924999   332.428101  0.000029689
11195.8379   21600.0   20.135967   -7.103552   333.694611  0.000016137
11881.4912   21600.0   19.279768   -4.438914   339.279175  0.000004610
12602.0889   21600.0   18.162199   -5.610266   353.380035  0.000003309
13348.7168   21600.0   16.658504   -6.007761   369.202972  0.000004066
14116.4844   21600.0   14.759353   -3.970057   381.758331  0.000004008
14906.9189   21600.0   13.612206   -2.323523   392.207855  0.000004007
15723.6738   21600.0   11.658693   -0.223466   403.815887  0.000003990
16568.8848   21600.0    8.894283    2.155746   418.374084  0.000003999
17443.2812   21600.0    6.203912    1.309113   436.350403  0.000004014
18344.7910   21600.0    3.034863   -0.562718   455.520142  0.000004027
19272.9766   21600.0   -0.954520   -2.613735   475.181030  0.000004036
20229.2676   21600.0   -4.085883   -3.927462   496.506378  0.000003987
21214.0020   21600.0   -5.501868   -4.369471   519.648987  0.000003930

# 75600.00  
    9.8203   21600.0    2.155946   -0.065274   287.816925  0.006949292
   35.0887   21600.0    2.982656   -0.170489   288.347015  0.006886764
   71.7596   21600.0    3.768149   -0.355968   288.941162  0.006815455
  120.1842   21600.0    4.688817   -0.720288   289.656616  0.006726693
  180.6944   21600.0    5.521524   -1.177021   290.258850  0.006647943
  253.6279   21600.0    6.326359   -1.732317   290.794098  0.006575939
  339.3210   21600.0    6.846112   -2.063358   291.204437  0.006520203
  438.1268   21600.0    7.254128   -1.953290   291.587646  0.006407256
  550.4152   21600.0    7.719967   -1.361447   292.106812  0.006213175
  676.4890   21600.0    7.962998   -1.003452   292.576874  0.005883503
  816.7094   21600.0    8.189812   -1.154700   293.092987  0.005424217
  971.4597   21600.0    8.146454   -0.965344   293.813507  0.004828425
 1141.0179   21600.0    7.658442   -0.638399   294.483795  0.004283676
 1325.7201   21600.0    7.254204   -0.663380   294.993042  0.004071274
 1525.9913   21600.0    6.927950   -0.822372   295.570770  0.004177839
 1742.1245   21600.0    6.957746   -1.253571   296.147430  0.004380856
 1974.5023   21600.0    7.197923   -1.885966   296.904633  0.004460894
 2223.4922   21600.0    7.154356   -2.324798   297.923798  0.004233993
 2489.5229   21600.0    6.713664   -2.585718   299.380035  0.003754058
 2772.8198   21600.0    6.670943   -2.724607   300.958618  0.003234048
 3073.6213   21600.0    7.054430   -2.310477   302.402222  0.002815065
 3392.4666   21600.0    7.696858   -1.893632   304.084808  0.002508669
 3729.7375   21600.0    8.575305   -1.637198   306.110321  0.002146175
 4085.5107   21600.0    8.728357   -1.337843   308.008026  0.001918647
 4460.3696   21600.0    9.452009   -0.847184   310.225861  0.001734804
 4853.9277   21600.0   10.500980    0.046245   311.647217  0.001570879
 5266.8003   21600.0   11.420691    0.820349   312.767029  0.001457106
 5699.2974   21600.0   12.291045    0.386544   313.604858  0.001301735
 6152.0269   21600.0   12.196152   -0.140503   314.587158  0.001042951
 6626.1304   21600.0   13.111979   -1.313074   316.757355  0.000798125
 7120.9819   21600.0   14.441717   -1.110183   318.858551  0.000595603
 7637.4756   21600.0   15.976572   -0.227851   321.581604  0.000430477
 8175.3213   21600.0   17.245413   -0.305087   324.185181  0.000298952
 8734.2393   21600.0   18.887365   -0.861793   326.041382  0.000176494
 9315.2539   21600.0   19.942949   -1.530446   328.001038  0.000096154
 9918.9287   21600.0   21.093510   -2.667537   330.344208  0.000054167
10545.2402   21600.0   22.783337   -3.787091   332.727112  0.000037490
11196.5449   21600.0   23.381788   -4.115543   333.385925  0.000029493
11881.8896   21600.0   22.771482   -4.300012   338.689789  0.000010833
12602.7129   21600.0   22.367910   -6.565785   353.013458  0.000003961
13349.4092   21600.0   20.517733   -6.840396   368.914398  0.000004011
14116.8555   21600.0   16.533937   -3.520979   381.174774  0.000003994
14908.2549   21600.0   14.142804   -2.739685   392.567810  0.000003996
15725.7637   21600.0   12.391835   -1.198351   404.906860  0.000004004
16570.2910   21600.0   10.434901    0.827719   418.817657  0.000004000
17444.9512   21600.0    7.161414    0.240728   437.054504  0.000004047
18347.0195   21600.0    3.142119   -0.297360   456.784668  0.000004001
19274.4238   21600.0   -1.378674    0.141108   475.691925  0.000004037
20228.9219   21600.0   -5.069886   -0.755841   495.218292  0.000003891
21211.8691   21600.0   -6.730026   -2.482149   516.517395  0.000003860

# 86400.00  
    9.8183   21600.0    1.460888    0.132647   286.424744  0.007249541
   35.0864   21600.0    2.056895    0.081508   286.901733  0.007113994
